Time (Days) ,Brightness (solar luminosities) ,Brightness uncertainty (solar luminosities)
  824.17553 ,                    10.92923016 ,1.3E-4
  824.20104 ,                    10.92927198 ,1.3E-4
  824.22655 ,                    10.92916240 ,1.4E-4
  824.25205 ,                    10.92911715 ,1.3E-4
  824.27756 ,                    10.92924144 ,1.4E-4
  824.30307 ,                    10.92915561 ,1.3E-4
  824.32857 ,                    10.92920983 ,1.4E-4
  824.35408 ,                    10.92927993 ,1.3E-4
  824.37959 ,                    10.92908656 ,1.4E-4
  824.40509 ,                    10.92915485 ,1.3E-4
  824.43060 ,                    10.92923929 ,1.2E-4
  824.45611 ,                    10.92905240 ,1.4E-4
  824.48161 ,                    10.92904166 ,1.3E-4
  824.50712 ,                    10.92899948 ,1.4E-4
  824.53263 ,                    10.92922980 ,1.3E-4
  824.55814 ,                    10.92911197 ,1.2E-4
  824.58364 ,                    10.92911200 ,1.2E-4
  824.60915 ,                    10.92917524 ,1.2E-4
  824.63466 ,                    10.92912495 ,1.2E-4
  824.66016 ,                    10.92924344 ,1.2E-4
  824.68567 ,                    10.92915982 ,1.2E-4
  824.71118 ,                    10.92904215 ,1.4E-4
  824.73668 ,                    10.92904728 ,1.4E-4
  824.76219 ,                    10.92928816 ,1.4E-4
  824.78770 ,                    10.92901440 ,1.4E-4
  824.81320 ,                    10.92932924 ,1.4E-4
  824.83871 ,                    10.92907394 ,1.3E-4
  824.86422 ,                    10.92909006 ,1.2E-4
  824.88972 ,                    10.92918391 ,1.3E-4
  824.91523 ,                    10.92889635 ,1.4E-4
  824.94074 ,                    10.92917825 ,1.2E-4
  824.96624 ,                    10.92914895 ,1.3E-4
  824.99175 ,                    10.92890365 ,1.2E-4
  825.01726 ,                    10.92925386 ,1.4E-4
  825.04276 ,                    10.92880942 ,1.3E-4
  825.06827 ,                    10.92922562 ,1.2E-4
  825.09378 ,                    10.92907560 ,1.3E-4
  825.11928 ,                    10.92905153 ,1.2E-4
  825.14479 ,                    10.92936442 ,1.3E-4
  825.17030 ,                    10.92918639 ,1.4E-4
  825.19580 ,                    10.92903927 ,1.2E-4
  825.22131 ,                    10.92930428 ,1.2E-4
  825.24682 ,                    10.92901577 ,1.3E-4
  825.27232 ,                    10.92909182 ,1.3E-4
  899.94220 ,                    10.92894674 ,1.4E-4
 1124.92775 ,                    10.92916477 ,1.4E-4
 1349.91330 ,                    10.92913758 ,1.3E-4
 1574.89885 ,                    10.92901339 ,1.3E-4
 1799.88440 ,                    10.92914561 ,1.2E-4
 2024.86995 ,                    10.92901692 ,1.4E-4
 2222.16266 ,                    10.92926529 ,1.3E-4
 2222.18816 ,                    10.92896465 ,1.4E-4
 2222.21367 ,                    10.92905108 ,1.4E-4
 2222.23918 ,                    10.92884960 ,1.4E-4
 2222.26468 ,                    10.92939698 ,1.4E-4
 2222.29019 ,                    10.92899171 ,1.3E-4
 2222.31570 ,                    10.92909648 ,1.4E-4
 2222.34120 ,                    10.92915432 ,1.4E-4
 2222.36671 ,                    10.92918926 ,1.4E-4
 2222.39222 ,                    10.92903025 ,1.2E-4
 2222.41772 ,                    10.92904596 ,1.4E-4
 2222.44323 ,                    10.92920473 ,1.2E-4
 2222.46874 ,                    10.92924873 ,1.4E-4
 2222.49424 ,                    10.92923758 ,1.3E-4
 2222.51975 ,                    10.92903863 ,1.3E-4
 2222.54526 ,                    10.92928657 ,1.4E-4
 2222.57076 ,                    10.92921510 ,1.3E-4
 2222.59627 ,                    10.92903798 ,1.3E-4
 2222.62178 ,                    10.92896602 ,1.4E-4
 2222.64728 ,                    10.92931200 ,1.5E-4
 2222.67279 ,                    10.92902239 ,1.3E-4
 2222.69830 ,                    10.92917776 ,1.4E-4
 2222.72380 ,                    10.92911363 ,1.5E-4
 2222.74931 ,                    10.92916308 ,1.4E-4
 2222.77482 ,                    10.92919493 ,1.4E-4
 2222.80032 ,                    10.92908829 ,1.4E-4
 2222.82583 ,                    10.92911603 ,1.3E-4
 2222.85134 ,                    10.92900262 ,1.3E-4
 2222.87684 ,                    10.92903149 ,1.2E-4
 2222.90235 ,                    10.92896359 ,1.2E-4
 2222.92786 ,                    10.92911721 ,1.2E-4
 2222.95336 ,                    10.92920948 ,1.4E-4
 2222.97887 ,                    10.92902808 ,1.3E-4
 2223.00438 ,                    10.92929769 ,1.4E-4
 2223.02988 ,                    10.92911609 ,1.3E-4
 2223.05539 ,                    10.92902810 ,1.3E-4
 2223.08090 ,                    10.92905763 ,1.4E-4
 2223.10640 ,                    10.92913078 ,1.2E-4
 2223.13191 ,                    10.92909877 ,1.2E-4
 2223.15742 ,                    10.92904334 ,1.4E-4
 2223.18292 ,                    10.92916382 ,1.4E-4
 2223.20843 ,                    10.92905762 ,1.4E-4
 2223.23394 ,                    10.92900901 ,1.2E-4
 2223.25944 ,                    10.92916171 ,1.4E-4
 2223.28495 ,                    10.92938111 ,1.3E-4
 2223.31046 ,                    10.92913480 ,1.4E-4
 2223.33597 ,                    10.92919584 ,1.3E-4
 2223.36147 ,                    10.92902066 ,1.3E-4
 2223.38698 ,                    10.92914898 ,1.4E-4
 2223.41249 ,                    10.92919545 ,1.3E-4
 2223.43799 ,                    10.92912068 ,1.2E-4
 2223.46350 ,                    10.92913520 ,1.4E-4
 2223.48901 ,                    10.92924174 ,1.2E-4
 2223.51451 ,                    10.92898240 ,1.2E-4
 2223.54002 ,                    10.92916492 ,1.3E-4
 2223.56553 ,                    10.92920699 ,1.3E-4
 2223.59103 ,                    10.92920894 ,1.2E-4
 2223.61654 ,                    10.92903859 ,1.4E-4
 2223.64205 ,                    10.92927799 ,1.2E-4
 2223.66755 ,                    10.92918448 ,1.3E-4
 2223.69306 ,                    10.92924346 ,1.3E-4
 2223.71857 ,                    10.92929504 ,1.2E-4
 2223.74407 ,                    10.92911149 ,1.3E-4
 2223.76958 ,                    10.92926974 ,1.4E-4
 2223.79509 ,                    10.92914790 ,1.2E-4
 2223.82059 ,                    10.92923067 ,1.4E-4
 2223.84610 ,                    10.92924847 ,1.2E-4
 2223.87161 ,                    10.92911799 ,1.4E-4
 2223.89711 ,                    10.92916656 ,1.3E-4
 2223.92262 ,                    10.92939746 ,1.3E-4
 2223.94813 ,                    10.92916500 ,1.3E-4
 2223.97363 ,                    10.92909331 ,1.2E-4
 2223.99914 ,                    10.92899369 ,1.4E-4
 2224.02465 ,                    10.92896381 ,1.3E-4
 2224.05015 ,                    10.92883938 ,1.2E-4
 2224.07566 ,                    10.92929591 ,1.3E-4
 2224.10117 ,                    10.92920852 ,1.2E-4
 2224.12667 ,                    10.92901455 ,1.3E-4
 2224.15218 ,                    10.92916538 ,1.4E-4
 2224.17769 ,                    10.92907919 ,1.2E-4
 2224.20319 ,                    10.92925892 ,1.4E-4
 2224.22870 ,                    10.92932486 ,1.2E-4
 2224.25421 ,                    10.92905695 ,1.4E-4
 2224.27971 ,                    10.92924196 ,1.4E-4
 2224.30522 ,                    10.92916055 ,1.4E-4
 2224.33073 ,                    10.92927915 ,1.2E-4
 2224.35623 ,                    10.92922971 ,1.3E-4
 2224.38174 ,                    10.92928724 ,1.3E-4
 2224.40725 ,                    10.92910200 ,1.4E-4
 2224.43275 ,                    10.92937415 ,1.4E-4
 2224.45826 ,                    10.92925930 ,1.2E-4
 2224.48377 ,                    10.92919338 ,1.2E-4
 2224.50927 ,                    10.92895459 ,1.4E-4
 2224.53478 ,                    10.92921549 ,1.3E-4
 2224.56029 ,                    10.92901863 ,1.4E-4
 2224.58579 ,                    10.92929785 ,1.4E-4
 2224.61130 ,                    10.92908634 ,1.2E-4
 2224.63681 ,                    10.92909279 ,1.4E-4
 2224.66231 ,                    10.92901429 ,1.4E-4
 2224.68782 ,                    10.92916419 ,1.3E-4
 2224.71333 ,                    10.92924071 ,1.2E-4
 2224.73883 ,                    10.92923935 ,1.3E-4
 2224.76434 ,                    10.92906322 ,1.2E-4
 2224.78985 ,                    10.92897295 ,1.4E-4
 2224.81536 ,                    10.92925742 ,1.3E-4
 2224.84086 ,                    10.92906008 ,1.2E-4
 2224.86637 ,                    10.92926304 ,1.3E-4
 2224.89188 ,                    10.92924236 ,1.3E-4
 2224.91738 ,                    10.92921071 ,1.2E-4
 2224.94289 ,                    10.92920679 ,1.4E-4
 2224.96840 ,                    10.92909023 ,1.4E-4
 2224.99390 ,                    10.92910558 ,1.4E-4
 2225.01941 ,                    10.92910183 ,1.2E-4
 2225.04492 ,                    10.92901075 ,1.3E-4
 2225.07042 ,                    10.92913105 ,1.3E-4
 2225.09593 ,                    10.92905620 ,1.2E-4
 2225.12144 ,                    10.92921001 ,1.4E-4
 2225.14694 ,                    10.92936000 ,1.2E-4
 2225.17245 ,                    10.92912717 ,1.3E-4
 2225.19796 ,                    10.92909156 ,1.4E-4
 2249.85550 ,                    10.92907812 ,1.4E-4
 2474.84105 ,                    10.92909002 ,1.2E-4
 2699.82660 ,                    10.92893031 ,1.2E-4
 2751.63405 ,                    10.92868660 ,1.4E-4
 2751.64541 ,                    10.92865406 ,1.2E-4
 2751.65677 ,                    10.92872246 ,1.3E-4
 2751.66813 ,                    10.92861974 ,1.3E-4
 2751.67949 ,                    10.92874206 ,1.4E-4
 2751.69085 ,                    10.92850525 ,1.2E-4
 2751.70221 ,                    10.92855454 ,1.4E-4
 2751.71357 ,                    10.92867726 ,1.2E-4
 2751.72493 ,                    10.92873512 ,1.2E-4
 2751.73629 ,                    10.92876613 ,1.2E-4
 2751.74765 ,                    10.92853662 ,1.4E-4
 2751.75901 ,                    10.92870604 ,1.4E-4
 2751.77036 ,                    10.92860113 ,1.2E-4
 2751.78172 ,                    10.92863575 ,1.5E-4
 2751.79308 ,                    10.92870545 ,1.3E-4
 2751.80444 ,                    10.92881961 ,1.2E-4
 2751.81580 ,                    10.92879145 ,1.3E-4
 2751.82716 ,                    10.92859099 ,1.3E-4
 2751.83852 ,                    10.92861692 ,1.4E-4
 2751.84988 ,                    10.92894380 ,1.2E-4
 2751.86124 ,                    10.92873116 ,1.3E-4
 2751.87260 ,                    10.92857063 ,1.2E-4
 2751.88396 ,                    10.92863531 ,1.4E-4
 2751.89532 ,                    10.92882514 ,1.2E-4
 2751.90668 ,                    10.92863329 ,1.4E-4
 2751.91803 ,                    10.92864601 ,1.3E-4
 2751.92939 ,                    10.92876074 ,1.3E-4
 2751.94075 ,                    10.92872016 ,1.3E-4
 2751.95211 ,                    10.92858425 ,1.2E-4
 2751.96347 ,                    10.92888100 ,1.4E-4
 2751.97483 ,                    10.92864317 ,1.4E-4
 2751.98619 ,                    10.92856822 ,1.4E-4
 2751.99755 ,                    10.92871133 ,1.4E-4
 2752.00891 ,                    10.92880693 ,1.4E-4
 2752.02027 ,                    10.92874386 ,1.2E-4
 2752.03163 ,                    10.92881005 ,1.3E-4
 2752.04299 ,                    10.92867605 ,1.4E-4
 2752.05434 ,                    10.92878654 ,1.2E-4
 2752.06570 ,                    10.92885473 ,1.3E-4
 2752.07706 ,                    10.92853457 ,1.3E-4
 2752.08842 ,                    10.92888291 ,1.4E-4
 2752.09978 ,                    10.92873604 ,1.3E-4
 2752.11114 ,                    10.92894056 ,1.2E-4
 2752.12250 ,                    10.92870456 ,1.3E-4
 2752.13386 ,                    10.92882413 ,1.3E-4
 2752.14522 ,                    10.92897595 ,1.2E-4
 2752.15658 ,                    10.92881815 ,1.2E-4
 2752.16794 ,                    10.92853182 ,1.4E-4
 2752.17930 ,                    10.92865039 ,1.2E-4
 2752.19066 ,                    10.92883702 ,1.2E-4
 2752.20201 ,                    10.92884829 ,1.4E-4
 2752.21337 ,                    10.92866537 ,1.3E-4
 2752.22473 ,                    10.92867245 ,1.4E-4
 2752.23609 ,                    10.92869281 ,1.2E-4
 2752.24745 ,                    10.92861383 ,1.3E-4
 2752.25881 ,                    10.92873814 ,1.2E-4
 2752.27017 ,                    10.92883752 ,1.3E-4
 2752.28153 ,                    10.92874108 ,1.3E-4
 2752.29289 ,                    10.92874175 ,1.2E-4
 2752.30425 ,                    10.92883993 ,1.4E-4
 2752.31561 ,                    10.92884559 ,1.3E-4
 2752.32697 ,                    10.92859520 ,1.4E-4
 2752.33832 ,                    10.92874097 ,1.2E-4
 2752.34968 ,                    10.92877477 ,1.3E-4
 2752.36104 ,                    10.92866976 ,1.3E-4
 2752.37240 ,                    10.92890647 ,1.4E-4
 2752.38376 ,                    10.92878726 ,1.2E-4
 2752.39512 ,                    10.92896722 ,1.3E-4
 2752.40648 ,                    10.92877161 ,1.2E-4
 2752.41784 ,                    10.92863147 ,1.3E-4
 2752.42920 ,                    10.92899269 ,1.4E-4
 2752.44056 ,                    10.92882375 ,1.3E-4
 2752.45192 ,                    10.92863889 ,1.2E-4
 2752.46328 ,                    10.92879522 ,1.2E-4
 2752.47463 ,                    10.92865936 ,1.3E-4
 2752.48599 ,                    10.92869056 ,1.3E-4
 2752.49735 ,                    10.92875690 ,1.2E-4
 2752.50871 ,                    10.92886842 ,1.2E-4
 2752.52007 ,                    10.92882005 ,1.4E-4
 2752.53143 ,                    10.92890096 ,1.4E-4
 2924.81215 ,                    10.92930824 ,1.2E-4
 3038.40600 ,                    10.92924137 ,1.2E-4
 3038.43150 ,                    10.92958301 ,1.2E-4
 3038.45701 ,                    10.92942232 ,1.2E-4
 3038.48252 ,                    10.92936815 ,1.4E-4
 3038.50802 ,                    10.92944457 ,1.4E-4
 3038.53353 ,                    10.92952300 ,1.3E-4
 3038.55904 ,                    10.92954174 ,1.4E-4
 3038.58454 ,                    10.92946663 ,1.3E-4
 3038.61005 ,                    10.92956928 ,1.4E-4
 3038.63556 ,                    10.92937743 ,1.3E-4
 3038.66106 ,                    10.92929629 ,1.2E-4
 3038.68657 ,                    10.92945516 ,1.2E-4
 3038.71208 ,                    10.92946434 ,1.4E-4
 3038.73758 ,                    10.92932765 ,1.2E-4
 3038.76309 ,                    10.92943817 ,1.2E-4
 3038.78860 ,                    10.92939930 ,1.4E-4
 3038.81410 ,                    10.92933217 ,1.2E-4
 3038.83961 ,                    10.92970911 ,1.2E-4
 3038.86512 ,                    10.92950087 ,1.3E-4
 3038.89062 ,                    10.92940125 ,1.2E-4
 3038.91613 ,                    10.92929275 ,1.3E-4
 3038.94164 ,                    10.92941601 ,1.3E-4
 3038.96714 ,                    10.92922474 ,1.3E-4
 3038.99265 ,                    10.92951301 ,1.4E-4
 3039.01816 ,                    10.92921835 ,1.3E-4
 3039.04366 ,                    10.92941435 ,1.2E-4
 3039.06917 ,                    10.92955625 ,1.2E-4
 3039.09468 ,                    10.92934628 ,1.4E-4
 3039.12018 ,                    10.92947174 ,1.4E-4
 3039.14569 ,                    10.92957185 ,1.2E-4
 3039.17120 ,                    10.92931679 ,1.4E-4
 3039.19670 ,                    10.92935022 ,1.4E-4
 3039.22221 ,                    10.92935277 ,1.3E-4
 3039.24772 ,                    10.92940048 ,1.4E-4
 3039.27322 ,                    10.92946068 ,1.2E-4
 3039.29873 ,                    10.92959381 ,1.2E-4
 3039.32424 ,                    10.92950116 ,1.4E-4
 3039.34974 ,                    10.92959577 ,1.3E-4
 3039.37525 ,                    10.92939591 ,1.3E-4
 3039.40076 ,                    10.92929930 ,1.3E-4
 3039.42626 ,                    10.92949726 ,1.4E-4
 3039.45177 ,                    10.92944750 ,1.2E-4
 3039.47728 ,                    10.92922625 ,1.3E-4
 3039.50278 ,                    10.92950938 ,1.3E-4
 3039.52829 ,                    10.92938416 ,1.2E-4
 3039.55380 ,                    10.92942711 ,1.4E-4
 3039.57930 ,                    10.92956498 ,1.3E-4
 3039.60481 ,                    10.92957277 ,1.3E-4
 3039.63032 ,                    10.92922610 ,1.2E-4
 3039.65582 ,                    10.92929917 ,1.2E-4
 3039.68133 ,                    10.92937700 ,1.4E-4
 3039.70684 ,                    10.92940307 ,1.4E-4
 3039.73234 ,                    10.92955318 ,1.2E-4
 3039.75785 ,                    10.92935376 ,1.4E-4
 3039.78336 ,                    10.92934883 ,1.4E-4
 3039.80886 ,                    10.92933262 ,1.3E-4
 3039.83437 ,                    10.92943530 ,1.2E-4
 3039.85988 ,                    10.92929167 ,1.4E-4
 3039.88539 ,                    10.92937108 ,1.4E-4
 3039.91089 ,                    10.92931207 ,1.2E-4
 3039.93640 ,                    10.92947517 ,1.3E-4
 3039.96191 ,                    10.92942736 ,1.4E-4
 3039.98741 ,                    10.92947119 ,1.3E-4
 3040.01292 ,                    10.92934721 ,1.2E-4
 3040.03843 ,                    10.92920427 ,1.2E-4
 3040.06393 ,                    10.92940480 ,1.4E-4
 3040.08944 ,                    10.92948684 ,1.4E-4
 3040.11495 ,                    10.92929856 ,1.2E-4
 3040.14045 ,                    10.92938028 ,1.2E-4
 3040.16596 ,                    10.92925263 ,1.4E-4
 3040.19147 ,                    10.92926760 ,1.2E-4
 3040.21697 ,                    10.92939879 ,1.4E-4
 3040.24248 ,                    10.92930539 ,1.3E-4
 3040.26799 ,                    10.92933441 ,1.2E-4
 3040.29349 ,                    10.92943244 ,1.4E-4
 3040.31900 ,                    10.92948487 ,1.3E-4
 3040.34451 ,                    10.92917664 ,1.3E-4
 3040.37001 ,                    10.92935267 ,1.3E-4
 3040.39552 ,                    10.92915259 ,1.4E-4
 3040.42103 ,                    10.92937441 ,1.4E-4
 3040.44653 ,                    10.92925720 ,1.2E-4
 3040.47204 ,                    10.92932527 ,1.3E-4
 3040.49755 ,                    10.92948397 ,1.2E-4
 3040.52305 ,                    10.92921368 ,1.4E-4
 3040.54856 ,                    10.92916436 ,1.3E-4
 3040.57407 ,                    10.92941151 ,1.4E-4
 3040.59957 ,                    10.92931122 ,1.3E-4
 3040.62508 ,                    10.92930219 ,1.3E-4
 3040.65059 ,                    10.92919403 ,1.2E-4
 3040.67609 ,                    10.92930993 ,1.4E-4
 3040.70160 ,                    10.92909618 ,1.3E-4
 3040.72711 ,                    10.92926437 ,1.4E-4
 3040.75261 ,                    10.92924034 ,1.4E-4
 3040.77812 ,                    10.92925553 ,1.3E-4
 3040.80363 ,                    10.92923613 ,1.3E-4
 3040.82913 ,                    10.92927169 ,1.4E-4
 3040.85464 ,                    10.92925815 ,1.2E-4
 3040.88015 ,                    10.92939128 ,1.2E-4
 3040.90565 ,                    10.92937475 ,1.3E-4
 3040.93116 ,                    10.92929625 ,1.2E-4
 3040.95667 ,                    10.92914737 ,1.4E-4
 3040.98217 ,                    10.92924659 ,1.4E-4
 3041.00768 ,                    10.92944922 ,1.4E-4
 3041.03319 ,                    10.92906837 ,1.4E-4
 3041.05869 ,                    10.92919824 ,1.4E-4
 3041.08420 ,                    10.92928613 ,1.2E-4
 3041.10971 ,                    10.92931135 ,1.4E-4
 3041.13521 ,                    10.92921128 ,1.4E-4
 3041.16072 ,                    10.92934696 ,1.2E-4
 3041.18623 ,                    10.92920754 ,1.3E-4
 3041.21173 ,                    10.92919254 ,1.4E-4
 3041.23724 ,                    10.92911492 ,1.4E-4
 3041.26275 ,                    10.92898944 ,1.2E-4
 3041.28825 ,                    10.92923817 ,1.2E-4
 3041.31376 ,                    10.92927277 ,1.4E-4
 3041.33927 ,                    10.92938067 ,1.3E-4
 3041.36478 ,                    10.92930197 ,1.3E-4
 3041.39028 ,                    10.92929416 ,1.2E-4
 3041.41579 ,                    10.92906576 ,1.4E-4
 3041.44130 ,                    10.92936233 ,1.2E-4
 3137.28517 ,                    10.92917249 ,1.4E-4
 3137.31068 ,                    10.92922090 ,1.3E-4
 3137.33618 ,                    10.92904167 ,1.2E-4
 3137.36169 ,                    10.92902703 ,1.4E-4
 3137.38720 ,                    10.92911810 ,1.2E-4
 3137.41270 ,                    10.92922529 ,1.3E-4
 3137.43821 ,                    10.92896750 ,1.2E-4
 3137.46372 ,                    10.92912801 ,1.3E-4
 3137.48922 ,                    10.92927358 ,1.2E-4
 3137.51473 ,                    10.92905535 ,1.4E-4
 3137.54024 ,                    10.92913072 ,1.2E-4
 3137.56574 ,                    10.92905377 ,1.3E-4
 3137.59125 ,                    10.92902261 ,1.3E-4
 3137.61676 ,                    10.92913297 ,1.3E-4
 3137.64226 ,                    10.92910610 ,1.2E-4
 3137.66777 ,                    10.92932216 ,1.4E-4
 3137.69328 ,                    10.92913813 ,1.4E-4
 3137.71878 ,                    10.92914088 ,1.3E-4
 3137.74429 ,                    10.92900276 ,1.2E-4
 3137.76980 ,                    10.92904199 ,1.4E-4
 3137.79531 ,                    10.92932467 ,1.2E-4
 3137.82081 ,                    10.92920899 ,1.4E-4
 3137.84632 ,                    10.92917895 ,1.2E-4
 3137.87183 ,                    10.92924311 ,1.4E-4
 3137.89733 ,                    10.92929573 ,1.4E-4
 3137.92284 ,                    10.92906154 ,1.3E-4
 3137.94835 ,                    10.92917757 ,1.2E-4
 3137.97385 ,                    10.92903869 ,1.4E-4
 3137.99936 ,                    10.92918904 ,1.2E-4
 3138.02487 ,                    10.92911055 ,1.3E-4
 3138.05037 ,                    10.92908671 ,1.2E-4
 3138.07588 ,                    10.92905348 ,1.3E-4
 3138.10139 ,                    10.92923204 ,1.3E-4
 3138.12689 ,                    10.92890446 ,1.3E-4
 3138.15240 ,                    10.92903186 ,1.3E-4
 3138.17791 ,                    10.92900024 ,1.4E-4
 3138.20341 ,                    10.92903888 ,1.3E-4
 3138.22892 ,                    10.92913893 ,1.3E-4
 3138.25443 ,                    10.92898697 ,1.3E-4
 3138.27993 ,                    10.92890942 ,1.4E-4
 3138.30544 ,                    10.92895558 ,1.3E-4
 3138.33095 ,                    10.92910586 ,1.3E-4
 3138.35645 ,                    10.92907189 ,1.2E-4
 3138.38196 ,                    10.92917185 ,1.4E-4
 3138.40747 ,                    10.92903489 ,1.2E-4
 3138.43297 ,                    10.92907744 ,1.3E-4
 3138.45848 ,                    10.92901877 ,1.3E-4
 3138.48399 ,                    10.92926394 ,1.4E-4
 3138.50949 ,                    10.92913636 ,1.3E-4
 3138.53500 ,                    10.92904146 ,1.2E-4
 3138.56051 ,                    10.92900233 ,1.3E-4
 3138.58601 ,                    10.92894530 ,1.3E-4
 3138.61152 ,                    10.92902826 ,1.4E-4
 3138.63703 ,                    10.92905713 ,1.2E-4
 3138.66253 ,                    10.92905635 ,1.4E-4
 3138.68804 ,                    10.92909206 ,1.2E-4
 3138.71355 ,                    10.92905673 ,1.3E-4
 3138.73905 ,                    10.92925786 ,1.2E-4
 3138.76456 ,                    10.92917935 ,1.3E-4
 3138.79007 ,                    10.92904318 ,1.3E-4
 3138.81557 ,                    10.92919025 ,1.2E-4
 3138.84108 ,                    10.92928849 ,1.2E-4
 3138.86659 ,                    10.92901300 ,1.5E-4
 3138.89209 ,                    10.92887677 ,1.3E-4
 3138.91760 ,                    10.92913921 ,1.3E-4
 3138.94311 ,                    10.92912641 ,1.2E-4
 3138.96861 ,                    10.92915764 ,1.2E-4
 3138.99412 ,                    10.92929325 ,1.2E-4
 3139.01963 ,                    10.92911965 ,1.2E-4
 3139.04513 ,                    10.92913769 ,1.2E-4
 3139.07064 ,                    10.92896358 ,1.3E-4
 3139.09615 ,                    10.92899229 ,1.4E-4
 3139.12165 ,                    10.92918104 ,1.3E-4
 3139.14716 ,                    10.92920539 ,1.3E-4
 3139.17267 ,                    10.92918793 ,1.4E-4
 3139.19817 ,                    10.92921527 ,1.2E-4
 3139.22368 ,                    10.92906010 ,1.3E-4
 3139.24919 ,                    10.92914751 ,1.3E-4
 3139.27470 ,                    10.92916792 ,1.2E-4
 3139.30020 ,                    10.92901383 ,1.3E-4
 3139.32571 ,                    10.92904509 ,1.4E-4
 3139.35122 ,                    10.92908435 ,1.4E-4
 3139.37672 ,                    10.92894453 ,1.4E-4
 3139.40223 ,                    10.92930947 ,1.3E-4
 3139.42774 ,                    10.92920438 ,1.2E-4
 3139.45324 ,                    10.92905979 ,1.3E-4
 3139.47875 ,                    10.92910651 ,1.2E-4
